id,query,success,error
591,"select max( votes_1.creationdate) from votes as votes_1 inner join postlinks as postlinks_1 on (votes_1.id = postlinks_1.id ) where postlinks_1.relatedpostid is not NULL limit 27;",YES,""
592,"select postlinks_1.linktypeid, postlinks_1.creationdate, count(*) from postlinks as postlinks_1 where postlinks_1.creationdate is not NULL group by postlinks_1.linktypeid, postlinks_1.creationdate limit 9;",YES,""
593,"select posts_2.creationdate, posts_2.contentlicense, users_1.creationdate, posts_2.contentlicense, posts_1.acceptedanswerid, users_1.accountid, users_1.displayname, posts_1.contentlicense from posts as posts_1 inner join users as users_1 inner join posts as posts_2 on (users_1.id = posts_2.id ) on (posts_1.id = users_1.id ) where posts_2.body is not NULL limit 6;",YES,""
594,"select badges_1.class, posthistory_1.contentlicense, posthistory_1.text, badges_1.name, badges_1.userid, posthistory_1.userdisplayname from posthistory as posthistory_1 inner join badges as badges_1 on (posthistory_1.id = badges_1.id ) where posthistory_1.comment > posthistory_1.revisionguid limit 13;",YES,""
595,"select votes_1.id, votes_1.creationdate, min( votes_1.id) from votes as votes_1 where votes_1.creationdate is not NULL group by votes_1.id, votes_1.creationdate limit 3;",YES,""
596,"select badges_1.tagbased from badges as badges_1 where badges_1.id is not NULL limit 7;",YES,""
597,"select postlinks_1.postid from postlinks as postlinks_1 where postlinks_1.creationdate is not NULL limit 14;",YES,""
598,"select votes_1.votetypeid, postlinks_1.creationdate, posthistory_1.creationdate from postlinks as postlinks_1 inner join comments as comments_1 inner join votes as votes_1 inner join posthistory as posthistory_1 on (votes_1.id = posthistory_1.id ) on (comments_1.id = posthistory_1.id ) on (postlinks_1.id = votes_1.id ) where comments_1.contentlicense is not NULL limit 24;",YES,""
599,"select posts_1.acceptedanswerid from posts as posts_1 where posts_1.creationdate > posts_1.creationdate limit 7;",YES,""
600,"select posthistory_1.text, posthistory_1.contentlicense, posthistory_1.posthistorytypeid, posthistory_1.revisionguid, posthistory_1.userdisplayname, posthistory_1.creationdate, posthistory_1.contentlicense from posthistory as posthistory_1 where posthistory_1.id <= posthistory_1.posthistorytypeid limit 3;",YES,""
601,"select max( badges_1.date), badges_1.date, badges_1.userid, badges_1.tagbased, badges_1.id, badges_1.id, badges_1.tagbased from badges as badges_1 where badges_1.date is not NULL group by badges_1.date, badges_1.userid, badges_1.tagbased, badges_1.id, badges_1.id, badges_1.tagbased limit 18;",YES,""
602,"select posts_1.acceptedanswerid, posts_1.owneruserid from posts as posts_1 where posts_1.creationdate is not NULL limit 10;",YES,""
603,"select postlinks_1.id, postlinks_1.linktypeid, postlinks_1.linktypeid, comments_1.creationdate, comments_1.id, comments_1.creationdate, postlinks_1.creationdate, comments_1.postid, postlinks_1.id, postlinks_1.linktypeid, min( comments_1.postid), postlinks_1.relatedpostid, comments_1.creationdate, comments_1.userid, postlinks_1.postid, postlinks_1.id from comments as comments_1 inner join postlinks as postlinks_1 on (comments_1.id = postlinks_1.id ) where comments_1.id is not NULL group by postlinks_1.id, postlinks_1.linktypeid, postlinks_1.linktypeid, comments_1.creationdate, comments_1.id, comments_1.creationdate, postlinks_1.creationdate, comments_1.postid, postlinks_1.id, postlinks_1.linktypeid, postlinks_1.relatedpostid, comments_1.creationdate, comments_1.userid, postlinks_1.postid, postlinks_1.id limit 41;",YES,""
604,"select posts_1.owneruserid, votes_1.creationdate, postlinks_1.id, min( posts_1.body) from votes as votes_1 inner join votes as votes_2 inner join postlinks as postlinks_1 inner join posts as posts_1 on (postlinks_1.id = posts_1.id ) on (votes_2.id = posts_1.id ) on (votes_1.id = posts_1.id ) where votes_2.votetypeid is not NULL group by posts_1.owneruserid, votes_1.creationdate, postlinks_1.id limit 42;",YES,""
605,"select posts_1.contentlicense, posts_1.contentlicense, votes_1.votetypeid, max( posts_1.contentlicense), posts_1.posttypeid from votes as votes_1 inner join posts as posts_1 on (votes_1.id = posts_1.id ) where votes_1.userid is not NULL group by posts_1.contentlicense, posts_1.contentlicense, votes_1.votetypeid, posts_1.posttypeid limit 5;",YES,""
606,"select comments_1.id, comments_1.userid, comments_1.creationdate, comments_1.postid, comments_1.text, comments_1.id from comments as comments_1 where comments_1.postid is not NULL limit 1;",YES,""
607,"select posthistory_1.posthistorytypeid, max( posthistory_1.creationdate) from posthistory as posthistory_1 where posthistory_1.text is not NULL group by posthistory_1.posthistorytypeid limit 36;",YES,""
608,"select min( badges_1.id), badges_1.id, badges_1.class from badges as badges_1 inner join postlinks as postlinks_1 on (badges_1.id = postlinks_1.id ) where postlinks_1.id < postlinks_1.linktypeid group by badges_1.id, badges_1.class limit 42;",YES,""
609,"select votes_1.id, avg( votes_1.userid), posts_1.posttypeid, min( votes_1.creationdate), posts_1.ownerdisplayname, badges_1.userid, badges_1.tagbased, votes_1.id, comments_1.userdisplayname, comments_1.creationdate, badges_1.class, sum( posts_1.owneruserid) from comments as comments_1 inner join posts as posts_1 on (comments_1.id = posts_1.id ) inner join votes as votes_1 on (comments_1.id = votes_1.id ) inner join badges as badges_1 on (posts_1.id = badges_1.id ) inner join votes as votes_2 on (votes_1.id = votes_2.id ) where votes_2.postid is not NULL group by votes_1.id, posts_1.posttypeid, posts_1.ownerdisplayname, badges_1.userid, badges_1.tagbased, votes_1.id, comments_1.userdisplayname, comments_1.creationdate, badges_1.class limit 6;",YES,""
610,"select badges_1.userid, avg( badges_1.userid), min( badges_2.date), badges_1.date from badges as badges_1 inner join badges as badges_2 on (badges_1.id = badges_2.id ) where badges_2.name is not NULL group by badges_1.userid, badges_1.date limit 39;",YES,""
611,"select min( users_1.displayname) from votes as votes_1 inner join users as users_1 on (votes_1.id = users_1.id ) where votes_1.votetypeid = votes_1.id limit 19;",YES,""
612,"select comments_1.userdisplayname, comments_1.postid, comments_1.id from comments as comments_1 where comments_1.id is not NULL limit 31;",YES,""
613,"select comments_1.text from comments as comments_1 where comments_1.text = comments_1.userdisplayname limit 38;",YES,""
614,"select votes_1.postid from votes as votes_1 where votes_1.userid is not NULL limit 15;",YES,""
615,"select badges_1.id, badges_1.tagbased, max( badges_1.date) from badges as badges_1 where badges_1.name > badges_1.name group by badges_1.id, badges_1.tagbased limit 36;",YES,""
616,"select postlinks_1.id, postlinks_1.id, postlinks_1.postid, postlinks_1.creationdate, postlinks_2.relatedpostid from postlinks as postlinks_1 inner join postlinks as postlinks_2 on (postlinks_1.id = postlinks_2.id ) where postlinks_1.creationdate = postlinks_2.creationdate limit 34;",YES,""
617,"select posts_1.id, min( posts_1.id), posts_1.ownerdisplayname, min( posts_1.creationdate), posts_1.body, posts_1.acceptedanswerid, posts_1.owneruserid, posts_1.contentlicense, posts_1.acceptedanswerid, posts_1.body, posts_1.ownerdisplayname, posts_1.id, posts_1.title, posts_1.body from posts as posts_1 where posts_1.contentlicense is not NULL group by posts_1.id, posts_1.ownerdisplayname, posts_1.body, posts_1.acceptedanswerid, posts_1.owneruserid, posts_1.contentlicense, posts_1.acceptedanswerid, posts_1.body, posts_1.ownerdisplayname, posts_1.id, posts_1.title, posts_1.body limit 23;",YES,""
618,"select max( users_1.location), users_1.accountid, users_1.id, users_1.displayname, users_1.websiteurl, users_1.creationdate, users_1.aboutme, users_1.location, users_1.websiteurl, users_1.id, users_1.profileimageurl, min( users_1.websiteurl) from users as users_1 where users_1.profileimageurl is not NULL group by users_1.accountid, users_1.id, users_1.displayname, users_1.websiteurl, users_1.creationdate, users_1.aboutme, users_1.location, users_1.websiteurl, users_1.id, users_1.profileimageurl limit 21;",YES,""
619,"select max( votes_1.creationdate), votes_1.votetypeid, votes_1.creationdate, votes_1.userid, votes_1.postid, votes_1.creationdate, votes_1.postid, min( votes_1.userid), max( votes_1.creationdate) from votes as votes_1 where votes_1.creationdate = votes_1.creationdate group by votes_1.votetypeid, votes_1.creationdate, votes_1.userid, votes_1.postid, votes_1.creationdate, votes_1.postid limit 38;",YES,""
620,"select votes_1.creationdate, votes_1.userid, votes_1.id, votes_1.postid, votes_1.id, votes_1.votetypeid from votes as votes_1 where votes_1.creationdate is not NULL limit 27;",YES,""
621,"select comments_1.id, comments_1.contentlicense, comments_1.contentlicense, comments_1.contentlicense, comments_1.id from comments as comments_1 where comments_1.userid is not NULL limit 29;",YES,""
622,"select posts_1.acceptedanswerid, posts_1.title, posts_1.creationdate, count(*) from posts as posts_1 where posts_1.owneruserid is not NULL group by posts_1.acceptedanswerid, posts_1.title, posts_1.creationdate limit 1;",YES,""
623,"select posts_1.body, posts_1.title, posts_1.body, posts_1.parentid, posts_1.acceptedanswerid, max( posts_1.creationdate), posts_1.tags, min( posts_1.creationdate), posts_1.owneruserid, max( posts_1.tags), posts_1.contentlicense, posts_1.body, posts_1.id, posts_1.body, posts_1.parentid, posts_1.parentid, posts_1.id, posts_1.contentlicense, min( posts_1.tags), posts_1.ownerdisplayname, posts_1.id, posts_1.body, min( posts_1.posttypeid), posts_1.owneruserid, posts_1.posttypeid, posts_1.id, posts_1.posttypeid, max( posts_1.tags), posts_1.title, posts_1.posttypeid from posts as posts_1 where posts_1.title is not NULL group by posts_1.body, posts_1.title, posts_1.body, posts_1.parentid, posts_1.acceptedanswerid, posts_1.tags, posts_1.owneruserid, posts_1.contentlicense, posts_1.body, posts_1.id, posts_1.body, posts_1.parentid, posts_1.parentid, posts_1.id, posts_1.contentlicense, posts_1.ownerdisplayname, posts_1.id, posts_1.body, posts_1.owneruserid, posts_1.posttypeid, posts_1.id, posts_1.posttypeid, posts_1.title, posts_1.posttypeid limit 35;",YES,""
624,"select badges_1.name from badges as badges_1 where badges_1.userid is not NULL limit 7;",YES,""
625,"select comments_1.text, comments_1.text from posts as posts_1 inner join posthistory as posthistory_1 inner join comments as comments_1 on (posthistory_1.id = comments_1.id ) on (posts_1.id = comments_1.id ) where posthistory_1.creationdate = comments_1.creationdate limit 30;",YES,""
626,"select badges_1.userid, badges_1.userid, badges_1.userid, badges_1.class, badges_1.date, badges_1.id, min( badges_1.name), badges_1.name, badges_1.id, badges_1.name, badges_1.date, badges_1.class, badges_1.class from badges as badges_1 where badges_1.userid is not NULL group by badges_1.userid, badges_1.userid, badges_1.userid, badges_1.class, badges_1.date, badges_1.id, badges_1.name, badges_1.id, badges_1.name, badges_1.date, badges_1.class, badges_1.class limit 4;",YES,""
627,"select comments_1.creationdate, votes_1.id, badges_1.tagbased, comments_1.contentlicense from comments as comments_1 inner join votes as votes_1 on (comments_1.id = votes_1.id ) inner join badges as badges_1 on (comments_1.id = badges_1.id ) where badges_1.tagbased is not NULL limit 24;",YES,""
628,"select distinct posts_1.ownerdisplayname, posts_1.id from posts as posts_1 where posts_1.body is not NULL limit 8;",YES,""
629,"select postlinks_1.relatedpostid, postlinks_1.creationdate from postlinks as postlinks_1 where postlinks_1.linktypeid is not NULL limit 19;",YES,""
630,"select posts_1.posttypeid, posts_1.creationdate from posts as posts_1 inner join badges as badges_1 on (posts_1.id = badges_1.id ) where badges_1.class is not NULL limit 13;",YES,""
631,"select users_1.websiteurl from users as users_1 where users_1.creationdate is not NULL limit 7;",YES,""
632,"select users_1.creationdate, badges_1.date, users_1.profileimageurl, users_1.websiteurl, badges_1.date, badges_1.name from badges as badges_1 inner join users as users_1 on (badges_1.id = users_1.id ) where badges_1.id < badges_1.userid limit 28;",YES,""
633,"select max( posthistory_1.creationdate), posthistory_1.postid, posthistory_1.creationdate, posthistory_1.revisionguid, posthistory_1.contentlicense from posthistory as posthistory_1 where posthistory_1.contentlicense >= posthistory_1.userdisplayname group by posthistory_1.postid, posthistory_1.creationdate, posthistory_1.revisionguid, posthistory_1.contentlicense limit 33;",YES,""
634,"select postlinks_2.creationdate, count( comments_1.userid), comments_1.text, postlinks_2.postid, comments_1.postid, comments_1.text, postlinks_2.relatedpostid, postlinks_2.id, comments_1.userdisplayname, min( postlinks_2.id), postlinks_1.id, comments_1.id from postlinks as postlinks_1 inner join postlinks as postlinks_2 inner join comments as comments_1 on (postlinks_2.id = comments_1.id ) on (postlinks_1.id = postlinks_2.id ) where postlinks_1.postid is not NULL group by postlinks_2.creationdate, comments_1.text, postlinks_2.postid, comments_1.postid, comments_1.text, postlinks_2.relatedpostid, postlinks_2.id, comments_1.userdisplayname, postlinks_1.id, comments_1.id limit 12;",YES,""
635,"select posts_1.id from posts as posts_1 where posts_1.title is not NULL limit 34;",YES,""
636,"select posts_1.owneruserid, posts_1.id, badges_1.date, badges_1.class, posts_1.parentid from badges as badges_1 inner join users as users_1 on (badges_1.id = users_1.id ) inner join posts as posts_1 on (users_1.id = posts_1.id ) where badges_1.userid is not NULL limit 17;",YES,""
637,"select max( users_1.websiteurl) from badges as badges_1 inner join users as users_1 on (badges_1.id = users_1.id ) where badges_1.class is not NULL limit 36;",YES,""
638,"select posts_1.id, posts_1.body, sum( posts_1.posttypeid), posts_1.title, min( posts_1.tags) from posts as posts_1 where posts_1.owneruserid is not NULL group by posts_1.id, posts_1.body, posts_1.title limit 5;",YES,""
639,"select posthistory_1.userid, votes_1.votetypeid from posthistory as posthistory_1 inner join posts as posts_1 inner join votes as votes_1 on (posts_1.id = votes_1.id ) on (posthistory_1.id = votes_1.id ) where votes_1.votetypeid is not NULL limit 29;",YES,""
640,"select users_1.displayname, users_1.id, sum( users_1.profileimageurl), users_1.aboutme, users_1.accountid, users_1.aboutme, users_1.websiteurl, users_1.profileimageurl from users as users_1 where users_1.accountid is not NULL group by users_1.displayname, users_1.id, users_1.aboutme, users_1.accountid, users_1.aboutme, users_1.websiteurl, users_1.profileimageurl limit 33;",YES,""
641,"select posts_1.body, sum( posts_1.posttypeid), posts_1.acceptedanswerid, posts_1.parentid from posts as posts_1 where posts_1.body is not NULL group by posts_1.body, posts_1.acceptedanswerid, posts_1.parentid limit 22;",YES,""
642,"select users_1.id, min( users_1.websiteurl), users_1.profileimageurl, users_1.accountid, sum( users_1.id), users_1.accountid, users_1.websiteurl, avg( users_1.id), users_1.aboutme, users_1.accountid, users_1.displayname, users_1.location, users_1.profileimageurl, users_1.creationdate, users_1.location, users_1.aboutme, users_1.creationdate, users_1.aboutme, users_1.aboutme, users_1.displayname from users as users_1 where users_1.id >= users_1.id group by users_1.id, users_1.profileimageurl, users_1.accountid, users_1.accountid, users_1.websiteurl, users_1.aboutme, users_1.accountid, users_1.displayname, users_1.location, users_1.profileimageurl, users_1.creationdate, users_1.location, users_1.aboutme, users_1.creationdate, users_1.aboutme, users_1.aboutme, users_1.displayname limit 39;",YES,""
643,"select comments_1.postid, comments_1.creationdate from comments as comments_1 where comments_1.userdisplayname is not NULL limit 40;",YES,""
644,"select badges_1.tagbased, badges_1.id, badges_1.userid from badges as badges_1 where badges_1.date <= badges_1.date limit 39;",YES,""
645,"select users_1.websiteurl, users_1.displayname, users_1.accountid from users as users_1 where users_1.displayname is not NULL limit 13;",YES,""
646,"select posthistory_1.creationdate, max( posthistory_1.creationdate), users_1.aboutme, posthistory_1.comment, users_1.location, users_1.id, posthistory_1.userid, users_1.accountid, users_1.location, users_1.displayname, users_1.profileimageurl from posthistory as posthistory_1 inner join users as users_1 on (posthistory_1.id = users_1.id ) where posthistory_1.userid is not NULL group by posthistory_1.creationdate, users_1.aboutme, posthistory_1.comment, users_1.location, users_1.id, posthistory_1.userid, users_1.accountid, users_1.location, users_1.displayname, users_1.profileimageurl limit 13;",YES,""
647,"select posts_1.contentlicense from posts as posts_1 inner join posts as posts_2 inner join comments as comments_1 on (posts_2.id = comments_1.id ) on (posts_1.id = posts_2.id ) where comments_1.text is not NULL limit 9;",YES,""
648,"select votes_1.userid, comments_1.contentlicense, comments_2.text, sum( posts_1.acceptedanswerid), comments_3.userid, min( posts_1.tags), comments_1.creationdate, comments_3.userid, votes_1.creationdate, votes_1.votetypeid, posts_1.owneruserid, comments_1.postid, posts_1.ownerdisplayname, votes_1.postid, max( posts_1.ownerdisplayname), comments_1.text, avg( posts_1.parentid), comments_2.contentlicense, posts_1.id, posts_1.tags from comments as comments_1 inner join comments as comments_2 inner join comments as comments_3 on (comments_2.id = comments_3.id ) inner join posts as posts_1 on (comments_2.id = posts_1.id ) on (comments_1.id = posts_1.id ) inner join votes as votes_1 on (posts_1.id = votes_1.id ) where comments_1.postid is not NULL group by votes_1.userid, comments_1.contentlicense, comments_2.text, comments_3.userid, comments_1.creationdate, comments_3.userid, votes_1.creationdate, votes_1.votetypeid, posts_1.owneruserid, comments_1.postid, posts_1.ownerdisplayname, votes_1.postid, comments_1.text, comments_2.contentlicense, posts_1.id, posts_1.tags limit 26;",YES,""
649,"select posts_1.title, votes_1.votetypeid, max( comments_1.id), max( posts_1.title), posts_1.id, votes_1.votetypeid, votes_1.postid, postlinks_1.relatedpostid from posts as posts_1 inner join comments as comments_1 on (posts_1.id = comments_1.id ) inner join postlinks as postlinks_1 on (comments_1.id = postlinks_1.id ) inner join votes as votes_1 on (comments_1.id = votes_1.id ) where posts_1.id is not NULL group by posts_1.title, votes_1.votetypeid, posts_1.id, votes_1.votetypeid, votes_1.postid, postlinks_1.relatedpostid limit 21;",YES,""
650,"select comments_1.creationdate, comments_1.creationdate, comments_1.creationdate, comments_1.userdisplayname, comments_1.contentlicense, max( comments_1.text), comments_1.id, comments_1.creationdate, comments_1.contentlicense, comments_1.text, max( comments_1.contentlicense), comments_1.userdisplayname, comments_1.id, max( comments_1.text), min( comments_1.creationdate) from comments as comments_1 where comments_1.text is not NULL group by comments_1.creationdate, comments_1.creationdate, comments_1.creationdate, comments_1.userdisplayname, comments_1.contentlicense, comments_1.id, comments_1.creationdate, comments_1.contentlicense, comments_1.text, comments_1.userdisplayname, comments_1.id limit 30;",YES,""
651,"select users_1.profileimageurl, users_1.id from users as users_1 where users_1.websiteurl < users_1.displayname limit 10;",YES,""
652,"select badges_1.tagbased, badges_1.tagbased from badges as badges_1 inner join posthistory as posthistory_1 on (badges_1.id = posthistory_1.id ) where posthistory_1.userid is not NULL limit 3;",YES,""
653,"select posts_1.tags, users_1.websiteurl, posts_1.parentid, votes_1.userid, max( users_1.aboutme), users_1.profileimageurl from users as users_1 inner join votes as votes_1 inner join posts as posts_1 on (votes_1.id = posts_1.id ) on (users_1.id = posts_1.id ) where posts_1.acceptedanswerid is not NULL group by posts_1.tags, users_1.websiteurl, posts_1.parentid, votes_1.userid, users_1.profileimageurl limit 8;",YES,""
654,"select badges_1.tagbased, postlinks_1.linktypeid, postlinks_1.linktypeid, badges_1.id, postlinks_1.creationdate, badges_1.class, postlinks_1.id, badges_1.name, badges_1.date, badges_1.id, max( badges_1.name), badges_1.tagbased from badges as badges_1 inner join postlinks as postlinks_1 on (badges_1.id = postlinks_1.id ) where badges_1.tagbased <= badges_1.tagbased group by badges_1.tagbased, postlinks_1.linktypeid, postlinks_1.linktypeid, badges_1.id, postlinks_1.creationdate, badges_1.class, postlinks_1.id, badges_1.name, badges_1.date, badges_1.id, badges_1.tagbased limit 39;",YES,""
655,"select users_1.displayname, comments_1.contentlicense, comments_1.creationdate, users_2.accountid, users_2.websiteurl, comments_1.postid from comments as comments_1 inner join users as users_1 inner join votes as votes_1 on (users_1.id = votes_1.id ) inner join votes as votes_2 inner join users as users_2 on (votes_2.id = users_2.id ) on (users_1.id = users_2.id ) on (comments_1.id = votes_2.id ) where comments_1.contentlicense is not NULL limit 39;",YES,""
656,"select max( comments_1.postid), min( comments_1.contentlicense), max( badges_1.date), comments_1.postid, badges_1.tagbased, badges_1.name, comments_1.creationdate, badges_1.date from comments as comments_1 inner join badges as badges_1 on (comments_1.id = badges_1.id ) where comments_1.contentlicense < comments_1.userdisplayname group by comments_1.postid, badges_1.tagbased, badges_1.name, comments_1.creationdate, badges_1.date limit 21;",YES,""
657,"select votes_1.votetypeid from votes as votes_1 where votes_1.id is not NULL limit 6;",YES,""
658,"select comments_1.userid, comments_1.id, comments_1.userid, comments_1.userdisplayname, comments_1.text, comments_1.contentlicense, max( comments_1.userdisplayname), comments_1.contentlicense, comments_1.contentlicense, comments_1.contentlicense, comments_1.userdisplayname, max( comments_1.userid), min( comments_1.creationdate), comments_1.text, comments_1.userdisplayname from comments as comments_1 where comments_1.userdisplayname is not NULL group by comments_1.userid, comments_1.id, comments_1.userid, comments_1.userdisplayname, comments_1.text, comments_1.contentlicense, comments_1.contentlicense, comments_1.contentlicense, comments_1.contentlicense, comments_1.userdisplayname, comments_1.text, comments_1.userdisplayname limit 10;",YES,""
659,"select posts_1.body, comments_2.userid, comments_2.userdisplayname from badges as badges_1 inner join users as users_1 inner join comments as comments_1 on (users_1.id = comments_1.id ) inner join posts as posts_1 inner join comments as comments_2 inner join posts as posts_2 on (comments_2.id = posts_2.id ) inner join posts as posts_3 on (comments_2.id = posts_3.id ) on (posts_1.id = posts_3.id ) on (comments_1.id = posts_3.id ) on (badges_1.id = posts_3.id ) where posts_3.title > posts_2.ownerdisplayname limit 27;",YES,""
660,"select users_1.accountid, users_1.id from comments as comments_1 inner join users as users_1 on (comments_1.id = users_1.id ) where users_1.accountid is not NULL limit 20;",YES,""
661,"select badges_1.name, badges_1.date from posts as posts_1 inner join badges as badges_1 on (posts_1.id = badges_1.id ) where posts_1.parentid is not NULL limit 3;",YES,""
662,"select badges_1.id, badges_1.class, badges_1.class, badges_1.class, badges_1.name, badges_1.id, badges_1.tagbased, badges_1.name from badges as badges_1 where badges_1.date is not NULL limit 35;",YES,""
663,"select posthistory_1.userid, max( posthistory_1.text), count( posthistory_1.comment), posthistory_1.text, posthistory_1.creationdate from posthistory as posthistory_1 where posthistory_1.revisionguid is not NULL group by posthistory_1.userid, posthistory_1.text, posthistory_1.creationdate limit 14;",YES,""
664,"select comments_1.text, max( comments_1.creationdate), comments_1.userid, comments_1.id from comments as comments_1 where comments_1.creationdate is not NULL group by comments_1.text, comments_1.userid, comments_1.id limit 24;",YES,""
665,"select badges_1.tagbased, count(*), badges_1.id, min( badges_1.date), badges_1.id from badges as badges_1 where badges_1.userid is not NULL group by badges_1.tagbased, badges_1.id, badges_1.id limit 16;",YES,""
666,"select users_1.aboutme, users_1.aboutme, users_1.profileimageurl from users as users_1 where users_1.id < users_1.id limit 26;",YES,""
667,"select comments_1.userid from comments as comments_1 inner join posts as posts_1 on (comments_1.id = posts_1.id ) where comments_1.userdisplayname is not NULL limit 40;",YES,""
668,"select min( votes_1.postid), votes_1.creationdate from votes as votes_1 where votes_1.votetypeid is not NULL group by votes_1.creationdate limit 14;",YES,""
669,"select badges_1.id, max( badges_1.name), badges_1.name from badges as badges_1 where badges_1.date is not NULL group by badges_1.id, badges_1.name limit 9;",YES,""
670,"select comments_1.postid, comments_1.postid, comments_2.id from posts as posts_1 inner join comments as comments_1 inner join users as users_1 on (comments_1.id = users_1.id ) on (posts_1.id = comments_1.id ) inner join votes as votes_1 inner join comments as comments_2 on (votes_1.id = comments_2.id ) on (users_1.id = comments_2.id ) where comments_2.creationdate <= users_1.creationdate limit 20;",YES,""
671,"select posts_1.acceptedanswerid, badges_1.date, postlinks_1.creationdate, max( posts_1.title), posts_1.body, users_1.websiteurl, users_1.profileimageurl, users_1.profileimageurl, max( users_1.displayname), users_1.websiteurl, min( posts_1.title), badges_1.name from posts as posts_1 inner join users as users_1 on (posts_1.id = users_1.id ) inner join badges as badges_1 inner join postlinks as postlinks_1 on (badges_1.id = postlinks_1.id ) on (posts_1.id = postlinks_1.id ) where users_1.profileimageurl <= users_1.accountid group by posts_1.acceptedanswerid, badges_1.date, postlinks_1.creationdate, posts_1.body, users_1.websiteurl, users_1.profileimageurl, users_1.profileimageurl, users_1.websiteurl, badges_1.name limit 24;",YES,""
672,"select users_1.location, max( users_2.creationdate), max( users_2.creationdate), sum( posts_1.acceptedanswerid), users_1.websiteurl from users as users_1 inner join users as users_2 inner join posts as posts_1 on (users_2.id = posts_1.id ) on (users_1.id = posts_1.id ) where users_1.creationdate is not NULL group by users_1.location, users_1.websiteurl limit 34;",YES,""
673,"select postlinks_1.relatedpostid, postlinks_1.creationdate, postlinks_1.postid, max( postlinks_1.creationdate), max( postlinks_1.creationdate) from postlinks as postlinks_1 where postlinks_1.linktypeid is not NULL group by postlinks_1.relatedpostid, postlinks_1.creationdate, postlinks_1.postid limit 42;",YES,""
674,"select max( badges_1.date), badges_1.tagbased, badges_1.date, badges_1.userid, badges_1.tagbased, badges_1.class from badges as badges_1 where badges_1.name >= badges_1.name group by badges_1.tagbased, badges_1.date, badges_1.userid, badges_1.tagbased, badges_1.class limit 42;",YES,""
675,"select comments_2.creationdate, comments_1.contentlicense from posthistory as posthistory_1 inner join comments as comments_1 inner join comments as comments_2 inner join posthistory as posthistory_2 on (comments_2.id = posthistory_2.id ) on (comments_1.id = posthistory_2.id ) on (posthistory_1.id = comments_2.id ) where comments_1.creationdate is not NULL limit 3;",YES,""
676,"select comments_1.creationdate from comments as comments_1 where comments_1.postid is not NULL limit 13;",YES,""
677,"select max( votes_1.creationdate), votes_1.votetypeid, votes_1.id, avg( votes_1.postid), votes_1.userid, max( votes_1.creationdate), min( votes_1.userid), votes_1.votetypeid from votes as votes_1 where votes_1.postid is not NULL group by votes_1.votetypeid, votes_1.id, votes_1.userid, votes_1.votetypeid limit 11;",YES,""
678,"select comments_1.userid from posts as posts_1 inner join comments as comments_1 on (posts_1.id = comments_1.id ) inner join comments as comments_2 on (comments_1.id = comments_2.id ) where comments_1.text is not NULL limit 34;",YES,""
679,"select max( badges_2.date), badges_3.userid, min( badges_1.id) from badges as badges_1 inner join badges as badges_2 inner join badges as badges_3 on (badges_2.id = badges_3.id ) on (badges_1.id = badges_2.id ) where badges_1.tagbased is not NULL group by badges_3.userid limit 10;",YES,""
680,"select votes_1.userid, max( votes_1.creationdate), votes_1.postid, votes_1.creationdate, votes_1.votetypeid, votes_1.creationdate, votes_1.votetypeid, votes_1.id, votes_1.postid, count(*), min( votes_1.creationdate), votes_1.votetypeid, max( votes_1.creationdate), votes_1.creationdate from votes as votes_1 where votes_1.creationdate is not NULL group by votes_1.userid, votes_1.postid, votes_1.creationdate, votes_1.votetypeid, votes_1.creationdate, votes_1.votetypeid, votes_1.id, votes_1.postid, votes_1.votetypeid, votes_1.creationdate limit 7;",YES,""
681,"select postlinks_1.creationdate, postlinks_1.postid, postlinks_1.id, postlinks_1.creationdate from postlinks as postlinks_1 where postlinks_1.id is not NULL limit 20;",YES,""
682,"select postlinks_1.id, postlinks_1.linktypeid, avg( votes_1.id), badges_1.id from badges as badges_1 inner join votes as votes_1 on (badges_1.id = votes_1.id ) inner join postlinks as postlinks_1 on (badges_1.id = postlinks_1.id ) inner join comments as comments_1 on (postlinks_1.id = comments_1.id ) where comments_1.contentlicense is not NULL group by postlinks_1.id, postlinks_1.linktypeid, badges_1.id limit 25;",YES,""
683,"select posts_1.parentid, comments_1.userid, posts_1.creationdate, comments_1.creationdate, comments_1.userid from comments as comments_1 inner join posts as posts_1 on (comments_1.id = posts_1.id ) inner join postlinks as postlinks_1 on (comments_1.id = postlinks_1.id ) where postlinks_1.creationdate is not NULL limit 17;",YES,""
684,"select posts_1.id, posts_1.ownerdisplayname, posts_1.contentlicense from posts as posts_1 where posts_1.owneruserid is not NULL limit 21;",YES,""
685,"select postlinks_1.postid, postlinks_1.linktypeid, postlinks_1.relatedpostid, postlinks_1.postid, postlinks_1.relatedpostid, postlinks_1.creationdate, postlinks_1.id, postlinks_1.postid from postlinks as postlinks_1 where postlinks_1.id is not NULL limit 19;",YES,""
686,"select users_1.aboutme, posthistory_1.creationdate, posthistory_1.text, users_1.profileimageurl, posthistory_1.creationdate from posthistory as posthistory_1 inner join users as users_1 on (posthistory_1.id = users_1.id ) where posthistory_1.creationdate >= users_1.creationdate limit 38;",YES,""
687,"select votes_2.votetypeid, count( votes_1.votetypeid), min( votes_1.creationdate) from votes as votes_1 inner join votes as votes_2 on (votes_1.id = votes_2.id ) where votes_2.creationdate is not NULL group by votes_2.votetypeid limit 18;",YES,""
